RUN_ID,OBJ_TYPE,FAIL_TYPE,TRANSPORT_FAIL,SEARCH_FAIL,FETCH_FAIL,DELIVER_FAIL,PERCEPT_FAIL,NAV_FAIL,MANIP_FAIL,TIME_SEC,
78,,SUM,1,0,0,1,0,24,50,22.2905590534,
78,,,,,,,,,,,
79,,,,,,,,,,,
79,BOWL,SUM,1,0,1,0,0,15,44,0,
79,CUP,SUM,0,0,0,0,8,1,23,13.3667681217,
79,SPOON,SUM,0,0,0,0,0,5,1,12.1156349182,
79,,SUM,1,0,1,0,8,21,68,25.4824030399,
79,,,,,,,,,,,
80,,,,,,,,,,,
80,BOWL,SUM,1,0,1,0,0,12,44,0,
80,CUP,SUM,1,0,1,0,8,13,77,0,
80,SPOON,SUM,0,0,0,0,0,6,44,20.4522180557,
80,,SUM,2,0,2,0,8,31,165,20.4522180557,
80,,,,,,,,,,,
81,,,,,,,,,,,
81,BOWL,SUM,0,0,0,0,8,5,5,15.7806241512,
81,CUP,SUM,1,0,1,0,8,7,33,0,
81,SPOON,SUM,0,0,0,0,4,3,17,17.670552969,
81,,SUM,1,0,1,0,20,15,55,33.4511771202,
81,,,,,,,,,,,
82,,,,,,,,,,,
82,BOWL,SUM,1,0,1,0,0,37,40,0,
82,CUP,SUM,0,0,0,0,8,2,10,14.8335299492,
82,SPOON,SUM,0,0,0,0,0,2,6,15.0019922256,
82,,SUM,1,0,1,0,8,41,56,29.8355221748,
82,,,,,,,,,,,
83,,,,,,,,,,,
83,BOWL,SUM,0,0,0,0,12,5,21,21.1763129234,
83,CUP,SUM,1,1,0,0,8,27,0,0,
83,SPOON,SUM,0,0,0,0,0,5,2,11.7200109959,
83,,SUM,1,1,0,0,20,37,23,32.8963239193,
83,,,,,,,,,,,
84,,,,,,,,,,,
84,BOWL,SUM,0,0,0,0,0,1,16,12.4908030033,
84,CUP,SUM,0,0,0,0,0,0,6,5.8719360828,
84,SPOON,SUM,0,0,0,0,0,5,0,11.4793810844,
84,,SUM,0,0,0,0,0,6,22,29.8421201706,
84,,,,,,,,,,,
85,,,,,,,,,,,
85,BOWL,SUM,1,0,0,1,8,2,15,0,
85,CUP,SUM,1,0,1,0,0,14,77,0,
85,SPOON,SUM,1,0,1,0,0,341,0,0,
85,,SUM,3,0,2,1,8,357,92,0,
85,,,,,,,,,,,
86,,,,,,,,,,,
86,BOWL,SUM,0,0,0,0,0,2,11,9.8810679913,
86,CUP,SUM,1,0,1,0,24,21,17,0,
86,SPOON,SUM,0,0,0,0,8,16,2,17.6317398548,
86,,SUM,1,0,1,0,32,39,30,27.5128078461,
86,,,,,,,,,,,
87,,,,,,,,,,,
87,BOWL,SUM,1,1,0,0,16,40,0,0,
87,CUP,SUM,0,0,0,0,0,5,17,8.2259118557,
87,SPOON,SUM,0,0,0,0,40,9,7,37.3156759739,
87,,SUM,1,1,0,0,56,54,24,45.5415878296,
87,,,,,,,,,,,
88,,,,,,,,,,,
88,BOWL,SUM,0,0,0,0,0,9,9,12.142663002,
88,CUP,SUM,0,0,0,0,0,1,6,6.2985889912,
88,SPOON,SUM,0,0,0,0,64,7,12,52.8196129799,
88,,SUM,0,0,0,0,64,17,27,71.2608649731,
88,,,,,,,,,,,
89,,,,,,,,,,,
89,BOWL,SUM,0,0,0,0,0,16,37,16.5440459251,
89,CUP,SUM,1,0,0,1,0,1,17,0,
89,SPOON,SUM,0,0,0,0,16,0,1,24.4949471951,
89,,SUM,1,0,0,1,16,17,55,41.0389931202,
89,,,,,,,,,,,
90,,,,,,,,,,,
90,BOWL,SUM,0,0,0,0,0,3,5,11.7328238487,
90,CUP,SUM,0,0,0,0,0,17,12,11.0472819805,
90,SPOON,SUM,1,0,1,0,8,20,44,0,
90,,SUM,1,0,1,0,8,40,61,22.7801058292,
90,,,,,,,,,,,
91,,,,,,,,,,,
91,BOWL,SUM,0,0,0,0,0,13,41,16.8758180141,
91,CUP,SUM,0,0,0,0,16,51,10,33.8195250034,
91,SPOON,SUM,0,0,0,0,0,2,5,13.7576839924,
91,,SUM,0,0,0,0,16,66,56,64.45302701,
